scenario,sector,region,year,value,scenarioYear
Static,Oil crops,China,2100,6.9642443624283,Sta. 2100
Static,Oil crops,North America,2050,0.7060922131979447,Sta. 2050
Static,Oil crops,North America,2100,0.7941761887966352,Sta. 2100
Static,Oil crops,World,2050,83.1774105744833,Sta. 2050
Static,Oil crops,World,2100,125.2352560796577,Sta. 2100
Static,Other crops,Africa,2050,253.01997280551834,Sta. 2050
Static,Other crops,Africa,2100,506.069537008548,Sta. 2100
Static,Other crops,China,2050,159.22539927787386,Sta. 2050
Static,Other crops,China,2100,124.67808291083033,Sta. 2100
Static,Other crops,North America,2050,1.713787187838405,Sta. 2050
Static,Other crops,North America,2100,2.0288987724889216,Sta. 2100
Static,Other crops,World,2050,860.1988010456354,Sta. 2050
Static,Other crops,World,2100,1166.404197683274,Sta. 2100
Static,Livestock,Africa,2050,29.321803518499998,Sta. 2050
Static,Livestock,Africa,2100,57.0597242033,Sta. 2100
Static,Livestock,China,2050,15.04946484993,Sta. 2050
Static,Livestock,China,2100,10.55151851933,Sta. 2100
Static,Livestock,North America,2050,0.302322332277,Sta. 2050
Static,Livestock,North America,2100,0.37870418621,Sta. 2100
Static,Livestock,World,2050,110.908696811537,Sta. 2050
Static,Livestock,World,2100,158.30084262333,Sta. 2100
Static,Forest,Africa,2050,2.8184846415,Sta. 2050
Static,Forest,Africa,2100,3.4275400071999997,Sta. 2100
Static,Forest,China,2050,10.929512815999999,Sta. 2050
Static,Forest,China,2100,9.6976588027,Sta. 2100
Static,Forest,North America,2050,0.265762187807,Sta. 2050
Static,Forest,North America,2100,0.28853567263,Sta. 2100
Static,Forest,World,2050,21.607273764227,Sta. 2050
Static,Forest,World,2100,21.360276021315,Sta. 2100
